id;name;create_by;created_at;status
1;delight inasmuch however;how;2024-11-24T10:41:56;pish
2;duh up from;drat before;2024-11-24T22:58:44;singular
3;finally nor with;gee;2024-11-25T00:34:42;unlike
4;snorer aw polarise;supposing;2024-11-25T06:23:39;loudly ugh than
5;monumental aha trudge;skyrocket besides bah;2024-11-25T06:49:17;strudel replication
6;apropos frightfully;dimly;2024-11-24T22:15:39;controversy soon
7;pentagon;ha;2024-11-25T01:40:15;hence yuck searchingly
8;though drat via;although;2024-11-25T07:22:06;likely
9;carefree focalise;since actual organic;2024-11-24T08:51:06;metro er
10;yoga provided probable;step-brother less forbid;2024-11-25T02:55:42;for wherever ugh
