id;error_code;error_name;quantity;error_source;reason_id;method;check_by_id;create_by;image;created_at;updated_at;check_time;complaint_id
1;arid;bathe;7731;planter;18262;kookily;18281;but;hopelessly;2024-11-24T14:54:28;2024-11-24T20:08:03;2024-11-24T23:57:08;19753
2;past;bank ouch insistent;26327;amongst coaxingly;25534;search;23771;poncho;ultimately boohoo where;2024-11-24T12:05:02;2024-11-25T07:11:54;2024-11-25T00:00:14;30123
3;an unite reassuringly;lazily;12002;naturally instead;10586;freon anti negligible;30604;disappoint;hm;2024-11-24T21:39:07;2024-11-24T19:03:26;2024-11-24T12:07:27;18862
4;yuck fiercely;equally judgementally;3768;which soap quarrelsomely;20507;essential;19915;circular briefly;lionize;2024-11-25T03:53:14;2024-11-24T20:20:39;2024-11-24T21:56:24;4789
5;even valiantly;instead microphone uh-huh;8130;as ward hire;29907;opposite queasily;1168;meaty plus drat;for ah;2024-11-25T07:08:40;2024-11-25T03:23:40;2024-11-24T13:55:12;22269
6;wherever gah;tender extension um;23735;blah;31523;orange yet;29146;pitiful cleverly recklessly;tricky snooker;2024-11-24T18:23:35;2024-11-24T13:22:42;2024-11-25T08:08:43;17619
7;fooey who;probe;8796;desensitise underneath;15335;restock junker;3827;against;belay;2024-11-24T14:45:15;2024-11-25T02:48:43;2024-11-24T13:44:47;27326
8;intensely provided sociable;pro that starchy;2543;gee;10054;about venerated why;18987;yum pace encircle;though;2024-11-25T04:46:45;2024-11-24T20:17:00;2024-11-24T17:49:19;10036
9;step;software;26756;oh;20940;brr;3532;duh;fooey;2024-11-24T09:11:15;2024-11-24T08:16:45;2024-11-25T01:02:06;12701
10;aha eek diverge;regularly since ew;22993;pfft bout;18422;rapid patiently;26147;locker;trustee;2024-11-25T07:57:26;2024-11-25T00:39:36;2024-11-25T07:35:45;24866
