id;product_code;product_name;lot_number;branch;reflector_id;total_errors;quantity;production_time;dapartment_id;check_by_id;rectification_time;create_by;status;complaint_detail;unit_of_use;implementation_result_id;comment;follow_up_comment;complaint_id;created_at;updated_at;serial;mac_address
1;ah theory;after limited;more ack suppose;dud;19161;29538;17991;2024-11-24T09:24:44;6264;31189;2024-11-24T11:04:13;indeed yahoo small;psst worth;talent circa;29043;26515;bravely under reamer;tasty;2126;2024-11-24T15:22:15;2024-11-24T11:52:42;until;into yowza impartial
2;yesterday defog;study terrible pfft;aside;amidst hm;27563;25109;29099;2024-11-25T03:02:31;902;16798;2024-11-24T14:03:30;lest roundabout save;snack school auction;although cheery;1713;21611;woefully till helplessly;ellipse;14285;2024-11-24T11:35:19;2024-11-24T09:24:31;gee;intoxicate
3;flake;unlawful;incidentally gadzooks versus;upright;25728;9707;703;2024-11-24T20:56:06;16847;22590;2024-11-25T00:20:36;quizzically following between;joshingly onto far;oh fooey;16915;24178;blindly if press;very out all;27507;2024-11-25T04:45:18;2024-11-24T15:57:20;colorful as;gadzooks pesky
4;uh-huh supposing;although;close orderly;hate phooey er;11996;18517;6969;2024-11-24T11:10:49;31119;28776;2024-11-24T18:44:09;defiantly whereas;cozy;yuck whenever speed;32035;21274;plasticize;between rarely;17290;2024-11-24T10:02:12;2024-11-24T22:06:27;grandiose squeaky;judgementally beech
5;hatchling;metallic fast sugar;sometimes;yippee prettify;28926;3361;6454;2024-11-25T07:59:42;19607;30708;2024-11-24T10:41:21;busily oh though;equally;even grizzled;1950;1916;warmhearted;find;16902;2024-11-24T09:23:42;2024-11-24T17:28:42;free scarily cluster;blend nerve gregarious
6;elicit;aside amongst;ransom necessity unless;among besmirch;15726;7181;8374;2024-11-24T08:12:04;19761;31460;2024-11-25T00:08:10;handy for vine;unless;drat;10307;5066;long sternly;adsorb reassuringly utilize;19796;2024-11-24T09:43:54;2024-11-25T01:50:12;because poorly;willfully partially apropos
7;unless sorrel while;if;fess survey boohoo;brr smooth decry;16782;12873;11407;2024-11-24T21:42:57;27766;5324;2024-11-24T09:56:52;evaporate psst;inside;seriously;19375;5101;mitten deliberately;never;9085;2024-11-24T13:35:34;2024-11-25T04:22:38;mostly;milkshake
8;ulcerate now thoroughly;whoa past;minor-league fair;overrun keenly;5900;15532;25394;2024-11-25T06:14:53;13522;14599;2024-11-25T07:49:12;wolf dutiful er;uh-huh;ick which;2503;24413;even mood finally;winged knowledgeably;28158;2024-11-25T07:18:16;2024-11-24T17:24:28;madly;port yahoo for
9;cry;export honestly;meanwhile hoarse intrepid;apropos;23659;25843;3422;2024-11-24T12:11:03;24563;6514;2024-11-25T00:15:12;near whose whereas;foolishly needy;owlishly;12550;1276;acquaintance rapidly;message meh;20552;2024-11-24T12:53:34;2024-11-25T04:46:49;considering cram;fooey drat
10;duh;hawk rip;woefully unhealthy;hm taxi hurtful;24820;27743;2345;2024-11-24T21:47:08;4009;11934;2024-11-24T08:24:07;westernize yearningly;bah inasmuch ugh;now;17201;19745;virtuous lanky;zip versus;3827;2024-11-25T05:33:12;2024-11-24T23:21:08;aw of geez;youthfully
